	                {[S -> .function functions, $]}	0	{[S -> .function functions, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(194, item)	{[value -> item.value', $/>/>=/	52	 
goto(194, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(194, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(194, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(194, const)	{[factor -> const., *///%/$]}	56	 
goto(194, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(194, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(194, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(194, STR)	{[const -> STR., *///%/$]}	60	 
goto(194, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(194, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(194, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(195, case_stmt)	{[branch_stmt -> switch ( id ) { case_stmt.case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	217	{[branch_stmt -> switch ( id ) { case_stmt.case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [case_stmts -> .case_stmt case_stmts, default]; [case_stmts -> .$, default]; [case_stmt -> .case const : stmts, $/case]}
goto(195, case)	{[case_stmt -> case.const : stmts, $/case]}	218	{[case_stmt -> case.const : stmts, $/case]; [const -> .num_const, :]; [const -> .FLOAT, :]; [const -> .CHAR, :]; [const -> .STR, :]; [num_const -> .INT10, :]; [num_const -> .INT8, :]; [num_const -> .INT16, :]}
goto(196, value')	{[value' -> + item value'., ;]}	219	{[value' -> + item value'., ;]}
goto(196, +)	{[value' -> +.item value', ;]}	164	 
goto(196, -)	{[value' -> -.item value', ;]}	165	 
goto(196, $)	{[value' -> $., ;]}	166	 
goto(197, value')	{[value' -> - item value'., ;]}	220	{[value' -> - item value'., ;]}
goto(197, +)	{[value' -> +.item value', ;]}	164	 
goto(197, -)	{[value' -> -.item value', ;]}	165	 
goto(197, $)	{[value' -> $., ;]}	166	 
goto(200, isnull_es)	{[isnull_es -> , isnull_expr isnull_es., )]}	221	{[isnull_es -> , isnull_expr isnull_es., )]}
goto(200, ,)	{[isnull_es -> ,.isnull_expr isnull_es, )]}	176	 
goto(200, $)	{[isnull_es -> $., )]}	177	 
goto(202, value')	{[value -> item value'., ,/$]}	222	{[value -> item value'., ,/$]}
goto(202, +)	{[value' -> +.item value', ,/$]}	223	{[value' -> +.item value', ,/$]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(202, -)	{[value' -> -.item value', ,/$]}	224	{[value' -> -.item value', ,/$]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(202, $)	{[value' -> $., ,/$]}	225	{[value' -> $., ,/$]}
goto(204, vars)	{[vars -> , id init vars., ;]}	226	{[vars -> , id init vars., ;]}
goto(204, ,)	{[vars -> ,.id init vars, ;]}	144	 
goto(204, $)	{[vars -> $., ;]}	145	 
goto(205, })	{[block_stmt -> { stmts }., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	227	{[block_stmt -> { stmts }., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(208, item)	{[value' -> + item.value', $/&&/||]}	228	{[value' -> + item.value', $/&&/||]; [value' -> .+ item value', $/&&/||]; [value' -> .- item value', $/&&/||]; [value' -> .$, $/&&/||]}
goto(208, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(208, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(208, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(208, const)	{[factor -> const., *///%/$]}	56	 
goto(208, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(208, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(208, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(208, STR)	{[const -> STR., *///%/$]}	60	 
goto(208, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(208, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(208, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(209, item)	{[value' -> - item.value', $/&&/||]}	229	{[value' -> - item.value', $/&&/||]; [value' -> .+ item value', $/&&/||]; [value' -> .- item value', $/&&/||]; [value' -> .$, $/&&/||]}
goto(209, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(209, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(209, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(209, const)	{[factor -> const., *///%/$]}	56	 
goto(209, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(209, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(209, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(209, STR)	{[const -> STR., *///%/$]}	60	 
goto(209, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(209, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(209, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(211, isnull_expr)	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ; isnull_expr.) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	230	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ; isnull_expr.) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(211, expression)	{[isnull_expr -> expression., )]}	231	{[isnull_expr -> expression., )]}
goto(211, $)	{[isnull_expr -> $., )]}	232	{[isnull_expr -> $., )]}
goto(211, value)	{[expression -> value.operation, )]}	233	{[expression -> value.operation, )]; [operation -> .compare_op value, )]; [operation -> .equal_op value, )]; [operation -> .$, )]; [compare_op -> .>, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .>=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .==, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .!=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .+=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .-=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .*=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> ./=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .%=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(211, item)	{[value -> item.value', $/>/>=/	52	 
goto(211, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(211, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(211, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(211, const)	{[factor -> const., *///%/$]}	56	 
goto(211, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(211, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(211, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(211, STR)	{[const -> STR., *///%/$]}	60	 
goto(211, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(211, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(211, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(212, ;)	{[iteration_stmt -> do block_stmt while ( logical_expression ) ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	234	{[iteration_stmt -> do block_stmt while ( logical_expression ) ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(214, block_stmt)	{[result -> else block_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	235	{[result -> else block_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(214, {)	{[block_stmt -> {.stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	185	 
goto(216, })	{[block_stmt -> { stmts }., else/$]}	236	{[block_stmt -> { stmts }., else/$]}
goto(217, case_stmts)	{[branch_stmt -> switch ( id ) { case_stmt case_stmts.default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	237	{[branch_stmt -> switch ( id ) { case_stmt case_stmts.default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [default_stmt -> .default : stmts, }]}
goto(217, case_stmt)	{[case_stmts -> case_stmt.case_stmts, default]}	238	{[case_stmts -> case_stmt.case_stmts, default]; [case_stmts -> .case_stmt case_stmts, default]; [case_stmts -> .$, default]; [case_stmt -> .case const : stmts, $/case]}
goto(217, $)	{[case_stmts -> $., default]}	239	{[case_stmts -> $., default]}
goto(217, case)	{[case_stmt -> case.const : stmts, $/case]}	218	 
goto(218, const)	{[case_stmt -> case const.: stmts, $/case]}	240	{[case_stmt -> case const.: stmts, $/case]}
goto(218, num_const)	{[const -> num_const., :]}	241	{[const -> num_const., :]}
goto(218, FLOAT)	{[const -> FLOAT., :]}	242	{[const -> FLOAT., :]}
goto(218, CHAR)	{[const -> CHAR., :]}	243	{[const -> CHAR., :]}
goto(218, STR)	{[const -> STR., :]}	244	{[const -> STR., :]}
goto(218, INT10)	{[num_const -> INT10., :]}	245	{[num_const -> INT10., :]}
goto(218, INT8)	{[num_const -> INT8., :]}	246	{[num_const -> INT8., :]}
goto(218, INT16)	{[num_const -> INT16., :]}	247	{[num_const -> INT16., :]}
goto(223, item)	{[value' -> + item.value', ,/$]}	248	{[value' -> + item.value', ,/$]; [value' -> .+ item value', ,/$]; [value' -> .- item value', ,/$]; [value' -> .$, ,/$]}
goto(223, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(223, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(223, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(223, const)	{[factor -> const., *///%/$]}	56	 
goto(223, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(223, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(223, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(223, STR)	{[const -> STR., *///%/$]}	60	 
goto(223, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(223, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(223, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(224, item)	{[value' -> - item.value', ,/$]}	249	{[value' -> - item.value', ,/$]; [value' -> .+ item value', ,/$]; [value' -> .- item value', ,/$]; [value' -> .$, ,/$]}
goto(224, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(224, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(224, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(224, const)	{[factor -> const., *///%/$]}	56	 
goto(224, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(224, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(224, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(224, STR)	{[const -> STR., *///%/$]}	60	 
goto(224, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(224, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(224, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(228, value')	{[value' -> + item value'., $/&&/||]}	250	{[value' -> + item value'., $/&&/||]}
goto(228, +)	{[value' -> +.item value', $/&&/||]}	208	 
goto(228, -)	{[value' -> -.item value', $/&&/||]}	209	 
goto(228, $)	{[value' -> $., $/&&/||]}	210	 
goto(229, value')	{[value' -> - item value'., $/&&/||]}	251	{[value' -> - item value'., $/&&/||]}
goto(229, +)	{[value' -> +.item value', $/&&/||]}	208	 
goto(229, -)	{[value' -> -.item value', $/&&/||]}	209	 
goto(229, $)	{[value' -> $., $/&&/||]}	210	 
goto(230, ))	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ; isnull_expr ).block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	252	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ; isnull_expr ).block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [block_stmt -> .{ stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(233, operation)	{[expression -> value operation., )]}	253	{[expression -> value operation., )]}
goto(233, compare_op)	{[operation -> compare_op.value, )]}	254	{[operation -> compare_op.value, )]; [value -> .item value', )]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(233, equal_op)	{[operation -> equal_op.value, )]}	255	{[operation -> equal_op.value, )]; [value -> .item value', )]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(233, $)	{[operation -> $., )]}	256	{[operation -> $., )]}
goto(233, >)	{[compare_op -> >., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	85	 
goto(233, >=)	{[compare_op -> >=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	86	 
goto(233, <)	{[compare_op -> <., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	87	 
goto(233, <=)	{[compare_op -> <=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	88	 
goto(233, ==)	{[compare_op -> ==., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	89	 
goto(233, !=)	{[compare_op -> !=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	90	 
goto(233, =)	{[equal_op -> =., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	91	 
goto(233, +=)	{[equal_op -> +=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	92	 
goto(233, -=)	{[equal_op -> -=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	93	 
goto(233, *=)	{[equal_op -> *=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	94	 
goto(233, /=)	{[equal_op -> /=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	95	 
goto(233, %=)	{[equal_op -> %=., (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	96	 
goto(237, default_stmt)	{[branch_stmt -> switch ( id ) { case_stmt case_stmts default_stmt.}, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	257	{[branch_stmt -> switch ( id ) { case_stmt case_stmts default_stmt.}, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(237, default)	{[default_stmt -> default.: stmts, }]}	258	{[default_stmt -> default.: stmts, }]}
goto(238, case_stmts)	{[case_stmts -> case_stmt case_stmts., default]}	259	{[case_stmts -> case_stmt case_stmts., default]}
goto(238, case_stmt)	{[case_stmts -> case_stmt.case_stmts, default]}	238	 
goto(238, $)	{[case_stmts -> $., default]}	239	 
goto(238, case)	{[case_stmt -> case.const : stmts, $/case]}	218	 
goto(240, :)	{[case_stmt -> case const :.stmts, $/case]}	260	{[case_stmt -> case const :.stmts, $/case]; [stmts -> .stmt stmts, $/case]; [stmts -> .$, $/case]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(248, value')	{[value' -> + item value'., ,/$]}	261	{[value' -> + item value'., ,/$]}
goto(248, +)	{[value' -> +.item value', ,/$]}	223	 
goto(248, -)	{[value' -> -.item value', ,/$]}	224	 
goto(248, $)	{[value' -> $., ,/$]}	225	 
goto(249, value')	{[value' -> - item value'., ,/$]}	262	{[value' -> - item value'., ,/$]}
goto(249, +)	{[value' -> +.item value', ,/$]}	223	 
goto(249, -)	{[value' -> -.item value', ,/$]}	224	 
goto(249, $)	{[value' -> $., ,/$]}	225	 
goto(252, block_stmt)	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	263	{[iteration_stmt -> for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(252, {)	{[block_stmt -> {.stmts }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	185	 
goto(254, value)	{[operation -> compare_op value., )]}	264	{[operation -> compare_op value., )]}
goto(254, item)	{[value -> item.value', )]}	107	 
goto(254, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(254, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(254, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(254, const)	{[factor -> const., *///%/$]}	56	 
goto(254, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(254, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(254, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(254, STR)	{[const -> STR., *///%/$]}	60	 
goto(254, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(254, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(254, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(255, value)	{[operation -> equal_op value., )]}	265	{[operation -> equal_op value., )]}
goto(255, item)	{[value -> item.value', )]}	107	 
goto(255, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(255, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(255, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(255, const)	{[factor -> const., *///%/$]}	56	 
goto(255, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(255, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(255, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(255, STR)	{[const -> STR., *///%/$]}	60	 
goto(255, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(255, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(255, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(257, })	{[branch_stmt -> switch ( id ) { case_stmt case_stmts default_stmt }., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	266	{[branch_stmt -> switch ( id ) { case_stmt case_stmts default_stmt }., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(258, :)	{[default_stmt -> default :.stmts, }]}	267	{[default_stmt -> default :.stmts, }]; [stmts -> .stmt stmts, }]; [stmts -> .$, }]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(260, stmts)	{[case_stmt -> case const : stmts., $/case]}	268	{[case_stmt -> case const : stmts., $/case]}
goto(260, stmt)	{[stmts -> stmt.stmts, $/case]}	269	{[stmts -> stmt.stmts, $/case]; [stmts -> .stmt stmts, $/case]; [stmts -> .$, $/case]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(260, $)	{[stmts -> $., $/case]}	270	{[stmts -> $., $/case]}
goto(260, assign_stmt)	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	38	 
